Locat Latitude LatitudeM Longitude LongitudeM YEAR TMIN TMINM TMAX TMAXM RAIN RRAINM RHUM RHUMM PAR SRAD
Ubiaja 6.6702 6.67346659  6.3857 6.344474 2018 22.0537534246575 22.3931506849315 29.1817808219178 31.0569863013699 2025.16 1952.5 84.8683561643836 73.9441095890411 87.6416712328767 5207.59945205479
Ubiaja 6.6702 6.67346659  6.3857 6.344474 2019 22.3800547945205 22.7630136986301 29.3096438356164 31.0071232876712 2254.4 1847.4 85.3815342465753 74.5323287671233 87.5435616438356 5073.24684931507
Ubiaja 6.6702 6.67346659  6.3857 6.344474 2020 21.9247267759563 22.7147183098592 29.467349726776 31.6516549295775 1979.19 1264.58 83.8203551912568 75.2133274647887 90.0992349726776 5102.87852112676
Umudike 5.4732 5.486839  7.5512 7.549571 2017 22.8529589041096 23.6358904109589 29.3097534246575 31.2060273972603 2118.26 2174.1 86.729095890411 76.7667123287671 86.1066301369863 5054.73808219178
Umudike 5.4732 5.486839  7.5512 7.549571 2018 22.5974246575342 22.9246575342466 29.2781917808219 30.9646575342466 1898.15 2623.8 85.8260821917808 77.8768493150685 87.7549315068493 4938.81671232877
Umudike 5.4732 5.486839  7.5512 7.549571 2019 22.818301369863 23.1857534246575 29.4212602739726 30.7909589041096 2019.66 3535.5 86.1145479452055 78.2057534246575 87.230904109589 4602.83808219178
Umudike 5.4732 5.486839  7.5512 7.549571 2020 22.5666393442623 23.1569718309859 29.6270218579235 31.5491197183099 2029.74 1679.36 85.1979508196721 78.5174647887324 89.2355737704918 4660.73419014085
Zaria 11.0506 11.0855  7.7315 7.7199 2017 18.7199452054795 20.5479452054795 30.9460547945205 33.18 1209.17 824.6 58.0759726027397 47.4705479452055 106.082575342466 5572.88301369863
Zaria 11.0506 11.0855  7.7315 7.7199 2018 18.8505479452055 20.0457534246575 31.1305479452055 32.7912328767123 1060.35 1021.4 58.4897534246575 52.421095890411 107.310356164384 6095.97671232877
Zaria 11.0506 11.0855  7.7315 7.7199 2019 19.2436164383562 20.6021917808219 31.2208493150685 33.1145205479452 1155.56 1295.2 58.8631232876712 52.0908219178082 106.048273972603 6174.74931506849
Zaria 11.0506 11.0855  7.7315 7.7199 2020 18.2327049180328 21.2058802816901 29.3317213114754 33.0163028169014 2285.58 1204.51 67.4198360655738 55.4968838028169 105.107486338798 6220.56077464789
