Clone,HWAMM,HWAMS,CWAMM,CWAMS,LAIXM,LAIXS,Year,Location,MeanROOT
TMS14F1014P0016,10.719,7.375,8.646,3.277,2,0.9,2017,AGO-OWO,10223
TMS14F1014P0017,6.625,7.737,11.25,3.56,2,0.9,2017,AGO-OWO,10173
TMS14F1016P0006,15.349,7.872,10.938,3.645,13,0.9,2017,AGO-OWO,11269
TMS14F1019P0015,11.05,7.392,11.667,3.27,3,0.9,2017,AGO-OWO,11529
TMS14F1022P0003,13.062,7.414,10.208,3.316,2,0.9,2017,AGO-OWO,10660
TMS14F1022P0006,11.593,8.001,9.896,3.765,8,0.9,2017,AGO-OWO,12806
TMS14F1035P0004,12.298,11.437,8.542,5.787,5,1.3,2017,AGO-OWO,12932
TMS14F1035P0007,12.323,10.931,9.792,4.768,5,1.1,2017,AGO-OWO,10891
TMS14F1036P0007,13.686,9.859,11.111,5.859,5,1,2017,AGO-OWO,10008
TMS14F1049P0001,9.12,6.072,11.076,4.826,6,0.8,2017,AGO-OWO,10592
TMS14F1098P0013,10.933,8.013,9.306,3.964,4,0.7,2017,AGO-OWO,11532
TMS14F1120P0003,10.3,5.265,12.708,6.21,4,1,2017,AGO-OWO,10060
TMS14F1125P0010,10.775,8.013,12.188,3.964,3,0.7,2017,AGO-OWO,10855
TMS14F1131P0001,15.881,7.903,16.25,4.381,3,0.9,2017,AGO-OWO,10573
TMS14F1146P0002,13.18,8.103,10.938,4.495,NA,1,2017,AGO-OWO,10645
TMS14F1159P0003,13.033,7.26,9.479,3.562,3,1,2017,AGO-OWO,9878
TMS14F1194P0002,11.853,6.261,11.389,4.357,NA,0.8,2017,AGO-OWO,11299
TMS14F1195P0004,9.328,7.021,12.222,4.272,4,0.9,2017,AGO-OWO,10657
TMS14F1195P0005,14.6,9.887,11.146,5.588,2,0.9,2017,AGO-OWO,10320
TMS14F1196P0003,10.664,7.225,11.146,4.88,6,0.7,2017,AGO-OWO,10276
TMS14F1208P0007,11.489,4.732,7.326,4.918,3,0.7,2017,AGO-OWO,9351
TMS14F1223P0007,12.467,8.013,10.312,3.964,2,0.7,2017,AGO-OWO,10218
