source,Clone,TRNO,EXCODE,HWAMS,HWAMM,LAIXS,LAIXM,CWAMS,CWAMM
11,TMS14F1303P0012,60,UYKA1801CS,3986,4057,0.9,8,3405,6562
11,TMS14F1306P0008,61,UYKA1801CS,3358,3985,0.9,7,3771,7604
11,TMS14F1306P0015,62,UYKA1801CS,7173,5339,2.1,3,5506,10104
11,TMS14F1306P0020,63,UYKA1801CS,3045,9313,0.9,3,3920,10139
11,TMS14F1310P0004,64,UYKA1801CS,3358,5997,0.9,5,3771,7882
11,TMS14F1310P0015,65,UYKA1801CS,5690,6781,1.3,0,4689,7639
11,TMS14F1311P0002,66,UYKA1801CS,3358,2294,0.9,5,3771,4236
11,TMS14F1312P0003,67,UYKA1801CS,5188,1716,1.3,4,4484,3924
12,IITA-TMS-IBA000070,1,UYMO1701CS,4779,16797,2.1,5,6176,9049
12,IITA-TMS-IBA30572,2,UYMO1701CS,2215,10704,0.9,3,3706,15417
12,IITA-TMS-IBA980581,3,UYMO1701CS,2890,12369,1.2,4,4829,17681
12,IITA-TMS-IBA982101,4,UYMO1701CS,3349,7444,1,3,6086,13708
12,TMEB419,5,UYMO1701CS,4845,15972,1.7,3,5753,11660
12,TMS13F1021P0008,6,UYMO1701CS,490,8531,1.1,4,5597,11639
12,TMS13F1049P0001,7,UYMO1701CS,1165,7800,0.9,1,5104,11889
12,TMS13F1114P0001,8,UYMO1701CS,1972,10079,1.1,4,5095,11611
12,TMS13F1182P0002,9,UYMO1701CS,918,15094,1.3,5,6521,10639
12,TMS13F1304P0003,10,UYMO1701CS,3080,18686,1.3,2,4363,8569
12,TMS13F1315P0008,11,UYMO1701CS,2215,8925,0.9,2,3706,19611
12,TMS13F1376P0018,12,UYMO1701CS,13213,17788,1.4,NA,7923,8361
12,TMS13F1400P0001,13,UYMO1701CS,1972,5785,1.1,4,5095,14403
12,TMS13F1461P0002,14,UYMO1701CS,1972,10067,1.1,5,5095,15312
12,TMS13F2061P0005,15,UYMO1701CS,1972,12299,1.1,3,5095,13542
12,TMS13F2207P0001,16,UYMO1701CS,4779,12450,2.1,5,6176,12639
12,TMS14F1001P0004,17,UYMO1701CS,3080,6765,1.3,3,4363,6181
12,TMS14F1013P0007,18,UYMO1701CS,2215,12743,0.9,3,3706,12431
12,TMS14F1014P0016,19,UYMO1701CS,1972,13458,1.1,2,5095,13625
12,TMS14F1016P0006,20,UYMO1701CS,3080,15886,1.3,13,4363,12486
12,TMS14F1019P0015,21,UYMO1701CS,2215,12242,0.9,3,3706,13347
12,TMS14F1022P0003,22,UYMO1701CS,2215,11321,0.9,2,3706,12458
12,TMS14F1022P0006,23,UYMO1701CS,2215,15653,0.9,8,3706,11597
12,TMS14F1035P0004,24,UYMO1701CS,3455,17833,1.1,5,3312,12292
12,TMS14F1035P0007,25,UYMO1701CS,3080,16348,1.3,5,4363,10708
12,TMS14F1036P0007,26,UYMO1701CS,4779,14760,2.1,5,6176,11361
12,TMS14F1049P0001,27,UYMO1701CS,2215,10861,0.9,6,3706,9938
12,TMS14F1098P0013,28,UYMO1701CS,2215,8925,0.9,4,3706,10208
12,TMS14F1120P0003,29,UYMO1701CS,6,7229,0.9,4,5118,11986
12,TMS14F1125P0010,30,UYMO1701CS,1972,13474,1.1,3,5095,16750
12,TMS14F1131P0001,31,UYMO1701CS,1744,4995,0.7,3,3999,5986
12,TMS14F1146P0002,32,UYMO1701CS,5312,6269,1.2,NA,4825,15000
12,TMS14F1159P0003,33,UYMO1701CS,3045,10811,1.2,3,4281,8569
12,TMS14F1194P0002,34,UYMO1701CS,5184,9669,1.2,0,4803,6222
12,TMS14F1195P0004,35,UYMO1701CS,1451,7333,0.7,2,2973,8903
12,TMS14F1195P0005,36,UYMO1701CS,1548,9142,1,4,4323,9986
12,TMS14F1196P0003,37,UYMO1701CS,1451,11194,0.7,2,2973,14028
12,TMS14F1208P0007,38,UYMO1701CS,1451,8812,0.7,6,2973,9861
12,TMS14F1223P0007,39,UYMO1701CS,1451,13914,0.7,3,2973,12153
12,TMS14F1224P0004,40,UYMO1701CS,1451,13576,0.7,2,2973,15972
12,TMS14F1262P0002,41,UYMO1701CS,1451,18812,0.7,4,2973,13611
12,TMS14F1278P0003,42,UYMO1701CS,1451,13181,0.7,2,2973,11667
12,TMS14F1285P0017,43,UYMO1701CS,4651,14627,1.2,NA,4712,11236
12,TMS14F1287P0008,44,UYMO1701CS,2281,16594,1.5,7,5677,9167
12,TMS14F1291P0003,45,UYMO1701CS,5312,17010,1.2,NA,4825,8542
12,TMS14F1291P0011,46,UYMO1701CS,4786,15027,1.2,NA,4734,10410
12,TMS14F1291P0012,47,UYMO1701CS,727,12417,0.6,6,3606,12431
12,TMS14F1292P0012,48,UYMO1701CS,3283,8110,1.4,3,4877,11667
12,TMS14F1295P0012,49,UYMO1701CS,1969,9434,0.8,1,3865,9444
12,TMS14F1297P0019,50,UYMO1701CS,1633,17569,1.1,4,5061,13312
12,TMS14F1299P0007,51,UYMO1701CS,1633,10811,1.1,4,5061,14931
12,TMS14F1300P0002,52,UYMO1701CS,5055,9065,1.2,0,4780,7889
12,TMS14F1300P0008,53,UYMO1701CS,0,7721,0.2,4,1430,14340
12,TMS14F1301P0004,54,UYMO1701CS,5538,12262,1.2,NA,4864,17361
12,TMS14F1301P0013,55,UYMO1701CS,3571,13097,1.2,8,4144,14111
12,TMS14F1303P0012,56,UYMO1701CS,3204,18230,0.8,8,3448,16875
12,TMS14F1306P0008,57,UYMO1701CS,1645,12415,0.8,7,3862,11194
12,TMS14F1306P0015,58,UYMO1701CS,4446,7042,1.9,3,5594,8694
12,TMS14F1306P0020,59,UYMO1701CS,2583,13027,0.8,3,3943,13750
12,TMS14F1310P0004,60,UYMO1701CS,1645,7542,0.8,5,3862,7250
12,TMS14F1310P0015,61,UYMO1701CS,5662,19906,1.2,NA,4886,11111
12,TMS14F1311P0002,62,UYMO1701CS,1645,10968,0.8,5,3862,10833
12,TMS14F1312P0003,63,UYMO1701CS,4251,12708,1.2,4,4621,10986
13,IITA-TMS-IBA000070,1,UYMO1801CS,15378,10789,2.5,5,7083,12240
13,IITA-TMS-IBA30572,2,UYMO1801CS,9188,6129,1.1,3,4318,9885
13,IITA-TMS-IBA980581,3,UYMO1801CS,10478,3790,1.4,4,5467,9323
13,IITA-TMS-IBA982101,4,UYMO1801CS,8226,1754,1.1,3,6630,3403
13,TMEB419,5,UYMO1801CS,13546,8618,2,3,6480,8212
13,TMS13F1021P0008,6,UYMO1801CS,8069,2441,1.2,4,6218,9375
