plant_name,plot_name,accession_name,plot_number,block_number,is_a_control,rep_number,row_number,col_number,plant_number,FieldNotes,Picture,"stem number counting			|CO_334:0000129","branching level counting			|CO_334:0000079","number of forks on branching level 1 counting			|CO_334:0000522","number of forks on branching level 2 counting			|CO_334:0000523","number of forks on branching level 3 counting			|CO_334:0000524","number of forks on branching level 4 counting			|CO_334:0000524-Copy-(0)",Plant height at first branching  Level,Plant height at second branching  Level,Plant height at third branching  Level,Plant height at fourth branching  Level,"plant height with leaf in cm			|CO_334:0000123","number of nodes at branching level 1 counting			|CO_334:0000352","number of nodes at branching level 2 counting			|CO_334:0000363","number of nodes at branching level 3 counting			|CO_334:0000368","number of nodes at branching level 4 counting			|CO_334:0000383","days to first forking event visual observation			|CO_334:0000467","days to second forking event visual observation			|CO_334:0000468","days to senescence on the first branch visual observation			|CO_334:0000518","days to third forking event visual observation			|CO_334:0000469","leaf life span in days			|CO_334:0000049",Leaf Lobe Counting,"leaf_1 lobe length measurement in cm			|CO_334:0000164","leaf_1 lobe Width measurement in cm			|CO_334:0000164-Copy-(0)","leaf_2 lobe length measurement in cm			|CO_334:0000164-Copy-(0)","leaf_2 lobe Width measurement in cm			|CO_334:0000164-Copy-(1)","leaf_3 lobe length measurement in cm - Leaf 1		|CO_334:0000164-Copy-(1)","leaf_3 lobe width measurement in cm			|CO_334:0000165",notes,"stem diameter measurement in cm|month 5			|COMP:0000129",Section_1 from branching_1-2_diameter,section from Branching_2-3_diameter,section from Branching_3-4_diameter
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1016P0006_109_plant_3,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1016P0006_109,TMS14F1016P0006,109,1,,1,1,9,3,,,4,1,3,0,0,,105,,,,120,6,0,0,0,,,,,,7,13,5,12,4.5,13,5,,14.47,6.39,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1016P0006_109_plant_4,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1016P0006_109,TMS14F1016P0006,109,1,,1,1,9,4,,,1,1,3,0,0,,100,,,,140,10,0,0,0,,,,,,9,16.5,6,15,5,15.5,5,,28.34,9.86,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1016P0006_109_plant_5,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1016P0006_109,TMS14F1016P0006,109,1,,1,1,9,5,,,3,1,3,0,0,,95,,,,105,2,0,0,0,,,,,,6,13,4,11.5,4,13,4.5,,14.6,5.15,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1300P0008_110_plant_1,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1300P0008_110,TMS14F1300P0008,110,1,,1,2,9,1,,,2,1,4,0,0,,90,,,,140,14,0,0,0,,,,,,9,16.5,4.5,16,5,17,5,,22.06,8.45,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1300P0008_110_plant_2,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1300P0008_110,TMS14F1300P0008,110,1,,1,2,9,2,,,3,1,2,0,0,,100,,,,110,2,0,0,0,,,,,,7,13,4,12,4,12.5,4,,11.73,6.9,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1300P0008_110_plant_3,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1300P0008_110,TMS14F1300P0008,110,1,,1,2,9,3,,,3,1,3,0,0,,70,,,,130,18,0,0,0,,,,,,9,15.5,5,14.5,5.8,14,4.5,,19.65,10.35,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1300P0008_110_plant_4,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1300P0008_110,TMS14F1300P0008,110,1,,1,2,9,4,,,2,1,3,0,0,,110,,,,150,11,0,0,0,,,,,,9,16,5,16.4,5,15,4.3,,17.31,10.56,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1300P0008_110_plant_5,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1300P0008_110,TMS14F1300P0008,110,1,,1,2,9,5,,,2,2,2,3,0,,60,125,0,0,160,17,6,0,0,,,,,,7,16.5,5.4,14.5,5.7,14,5,,21.11,16.07,9.36,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS13F2061P0005_111_plant_1,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS13F2061P0005_111,TMS13F2061P0005,111,1,,1,2,8,1,,,3,1,3,0,0,,110,,,,135,6,0,0,0,,,,,,7,14,4.5,14,4,13.5,4,,13.58,5.64,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS13F2061P0005_111_plant_2,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS13F2061P0005_111,TMS13F2061P0005,111,1,,1,2,8,2,,,3,1,2,0,0,,105,,,,140,8,0,0,0,,,,,,7,11,3,12.5,3.8,12,4,,14.12,7.83,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS13F2061P0005_111_plant_3,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS13F2061P0005_111,TMS13F2061P0005,111,1,,1,2,8,3,,,3,2,3,3,0,,95,150,,0,170,20,3,0,0,,,,,,7,13.5,4,14,4.3,15,4.5,,19.93,12.31,9.11,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS13F2061P0005_111_plant_4,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS13F2061P0005_111,TMS13F2061P0005,111,1,,1,2,8,4,,,1,2,3,3,0,,100,165,0,0,170,23,3,0,0,,,,,,7,14.5,5,11.6,4.8,13,4.5,,31.82,14,5.8,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS13F2061P0005_111_plant_5,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS13F2061P0005_111,TMS13F2061P0005,111,1,,1,2,8,5,,,6,1,2,0,0,,130,,,0,155,5,0,0,0,,,,,,7,14,4,13.5,4,13,4,,14.38,7.9,0,0
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS13F1461P0002_112_plant_1,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS13F1461P0002_112,TMS13F1461P0002,112,1,,1,2,7,1,,,3,1,2,0,0,,105,,,0,135,5,0,0,0,,,,,,7,16,4.3,16.3,3.8,14.6,3.7,,14.67,8.61,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS13F1461P0002_112_plant_2,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS13F1461P0002_112,TMS13F1461P0002,112,1,,1,2,7,2,,,2,1,2,0,0,,70,140,,0,140,21,0,0,0,,,,,,7,14.5,3.2,16.3,4,16,3.5,,20.97,12.35,6.8,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS13F1461P0002_112_plant_3,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS13F1461P0002_112,TMS13F1461P0002,112,1,,1,2,7,3,,,2,1,3,0,0,,85,,,0,130,15,0,0,0,,,,,,7,15,3.5,15,3.6,15.5,3.6,,20.21,10.08,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS13F1461P0002_112_plant_4,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS13F1461P0002_112,TMS13F1461P0002,112,1,,1,2,7,4,,,3,2,3,4,0,,75,160,,,165,23,4,0,0,,,,,,4,15.5,3.5,16.5,4,14.5,3.9,,23.71,16.17,6.61,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS13F1461P0002_112_plant_5,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS13F1461P0002_112,TMS13F1461P0002,112,1,,1,2,7,5,,,4,2,3,2,0,,80,155,,0,165,19,1,0,0,,,,,,7,16.5,4.5,16,5,15.5,4,,19.37,11.82,5.8,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1001P0004_113_plant_1,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1001P0004_113,TMS14F1001P0004,113,2,,1,2,6,1,,,2,1,2,0,0,,115,,,,155,8,0,0,0,,,,,,7,16,4.5,15,4.5,13,4,,16.46,9.93,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1001P0004_113_plant_2,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1001P0004_113,TMS14F1001P0004,113,2,,1,2,6,2,,,1,2,3,3,0,,90,150,0,,165,18,6,0,0,,,,,,7,13,4,13,4,11.5,3.6,,23.54,14.81,6.66,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1001P0004_113_plant_3,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1001P0004_113,TMS14F1001P0004,113,2,,1,2,6,3,,,2,2,2,2,0,,90,170,,,190,18,5,0,0,,,,,,7,14,4,14,4.1,13.5,3.9,,19.36,12.9,8.37,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1001P0004_113_plant_4,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1001P0004_113,TMS14F1001P0004,113,2,,1,2,6,4,,,1,2,3,3,0,,80,170,,0,180,21,9,0,0,,,,,,7,15.5,4.4,16,5,15,4,,23.55,16.37,9.43,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1001P0004_113_plant_5,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1001P0004_113,TMS14F1001P0004,113,2,,1,2,6,5,,,3,1,2,0,0,,120,,,,165,10,0,0,0,,,,,,7,13.5,4,13.5,4.1,12,3.8,,15.58,8.67,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1049P0001_114_plant_1,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1049P0001_114,TMS14F1049P0001,114,2,,1,2,5,1,,,5,1,3,0,0,,120,,,,190,20,0,0,0,,,,,,7,14,4.5,14.5,4.6,13.5,4,,20.81,12.3,,
