plant_name,plot_name,accession_name,plot_number,block_number,is_a_control,rep_number,row_number,col_number,plant_number,branching level counting after 21 days|CO_334:0000079,number of nodes after Last branching Level,New nodes Counting after Tag,number of forks at new branching level if existing,New Branching Height if existing,plant height with leaf after 21 days in cm|CO_334:0000123,stem diameter measurement after 21 days,Branching_1-2_diameter after 21 days,Branching_2-3_diameter after 21 days,Branching_3-4_diameter after 21 days
2022-21.GS.C2.UYT.36.setA.IB-rep1-IITA-TMS-IBA980581_108_plant_1,2022-21.GS.C2.UYT.36.setA.IB-rep1-IITA-TMS-IBA980581_108,IITA-TMS-IBA980581,108,1,1,1,1,8,1,,,,,,,,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-IITA-TMS-IBA980581_108_plant_2,2022-21.GS.C2.UYT.36.setA.IB-rep1-IITA-TMS-IBA980581_108,IITA-TMS-IBA980581,108,1,1,1,1,8,2,,,,,,,,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-IITA-TMS-IBA980581_108_plant_3,2022-21.GS.C2.UYT.36.setA.IB-rep1-IITA-TMS-IBA980581_108,IITA-TMS-IBA980581,108,1,1,1,1,8,3,,,,,,,,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-IITA-TMS-IBA980581_108_plant_4,2022-21.GS.C2.UYT.36.setA.IB-rep1-IITA-TMS-IBA980581_108,IITA-TMS-IBA980581,108,1,1,1,1,8,4,,,,,,,,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-IITA-TMS-IBA980581_108_plant_5,2022-21.GS.C2.UYT.36.setA.IB-rep1-IITA-TMS-IBA980581_108,IITA-TMS-IBA980581,108,1,1,1,1,8,5,,,,,,,,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1016P0006_109_plant_1,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1016P0006_109,TMS14F1016P0006,109,1,,1,1,9,1,,,,,,,,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1016P0006_109_plant_2,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1016P0006_109,TMS14F1016P0006,109,1,,1,1,9,2,,,,,,,,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1016P0006_109_plant_3,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1016P0006_109,TMS14F1016P0006,109,1,,1,1,9,3,,,,,,,,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1016P0006_109_plant_4,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1016P0006_109,TMS14F1016P0006,109,1,,1,1,9,4,,,,,,,,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1016P0006_109_plant_5,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1016P0006_109,TMS14F1016P0006,109,1,,1,1,9,5,,,,,,,,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1300P0008_110_plant_1,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1300P0008_110,TMS14F1300P0008,110,1,,1,2,9,1,,,,,,,,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1300P0008_110_plant_2,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1300P0008_110,TMS14F1300P0008,110,1,,1,2,9,2,,,,,,,,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1300P0008_110_plant_3,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1300P0008_110,TMS14F1300P0008,110,1,,1,2,9,3,,,,,,,,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1300P0008_110_plant_4,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1300P0008_110,TMS14F1300P0008,110,1,,1,2,9,4,,,,,,,,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1300P0008_110_plant_5,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1300P0008_110,TMS14F1300P0008,110,1,,1,2,9,5,,,,,,,,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS13F2061P0005_111_plant_1,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS13F2061P0005_111,TMS13F2061P0005,111,1,,1,2,8,1,,,,,,,,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS13F2061P0005_111_plant_2,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS13F2061P0005_111,TMS13F2061P0005,111,1,,1,2,8,2,,,,,,,,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS13F2061P0005_111_plant_3,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS13F2061P0005_111,TMS13F2061P0005,111,1,,1,2,8,3,,,,,,,,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS13F2061P0005_111_plant_4,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS13F2061P0005_111,TMS13F2061P0005,111,1,,1,2,8,4,,,,,,,,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS13F2061P0005_111_plant_5,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS13F2061P0005_111,TMS13F2061P0005,111,1,,1,2,8,5,,,,,,,,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS13F1461P0002_112_plant_1,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS13F1461P0002_112,TMS13F1461P0002,112,1,,1,2,7,1,,,,,,,,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS13F1461P0002_112_plant_2,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS13F1461P0002_112,TMS13F1461P0002,112,1,,1,2,7,2,,,,,,,,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS13F1461P0002_112_plant_3,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS13F1461P0002_112,TMS13F1461P0002,112,1,,1,2,7,3,,,,,,,,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS13F1461P0002_112_plant_4,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS13F1461P0002_112,TMS13F1461P0002,112,1,,1,2,7,4,,,,,,,,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS13F1461P0002_112_plant_5,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS13F1461P0002_112,TMS13F1461P0002,112,1,,1,2,7,5,,,,,,,,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1001P0004_113_plant_1,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1001P0004_113,TMS14F1001P0004,113,2,,1,2,6,1,,,,,,,,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1001P0004_113_plant_2,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1001P0004_113,TMS14F1001P0004,113,2,,1,2,6,2,,,,,,,,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1001P0004_113_plant_3,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1001P0004_113,TMS14F1001P0004,113,2,,1,2,6,3,,,,,,,,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1001P0004_113_plant_4,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1001P0004_113,TMS14F1001P0004,113,2,,1,2,6,4,,,,,,,,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1001P0004_113_plant_5,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1001P0004_113,TMS14F1001P0004,113,2,,1,2,6,5,,,,,,,,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1049P0001_114_plant_1,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1049P0001_114,TMS14F1049P0001,114,2,,1,2,5,1,,,,,,,,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1049P0001_114_plant_2,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1049P0001_114,TMS14F1049P0001,114,2,,1,2,5,2,,,,,,,,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1049P0001_114_plant_3,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1049P0001_114,TMS14F1049P0001,114,2,,1,2,5,3,,,,,,,,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1049P0001_114_plant_4,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1049P0001_114,TMS14F1049P0001,114,2,,1,2,5,4,,,,,,,,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1049P0001_114_plant_5,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1049P0001_114,TMS14F1049P0001,114,2,,1,2,5,5,,,,,,,,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1022P0006_115_plant_1,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1022P0006_115,TMS14F1022P0006,115,2,,1,2,4,1,,,,,,,,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1022P0006_115_plant_2,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1022P0006_115,TMS14F1022P0006,115,2,,1,2,4,2,,,,,,,,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1022P0006_115_plant_3,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1022P0006_115,TMS14F1022P0006,115,2,,1,2,4,3,,,,,,,,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1022P0006_115_plant_4,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1022P0006_115,TMS14F1022P0006,115,2,,1,2,4,4,,,,,,,,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1022P0006_115_plant_5,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1022P0006_115,TMS14F1022P0006,115,2,,1,2,4,5,,,,,,,,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1262P0002_116_plant_1,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1262P0002_116,TMS14F1262P0002,116,2,,1,2,3,1,,,,,,,,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1262P0002_116_plant_2,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1262P0002_116,TMS14F1262P0002,116,2,,1,2,3,2,,,,,,,,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1262P0002_116_plant_3,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1262P0002_116,TMS14F1262P0002,116,2,,1,2,3,3,,,,,,,,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1262P0002_116_plant_4,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1262P0002_116,TMS14F1262P0002,116,2,,1,2,3,4,,,,,,,,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1262P0002_116_plant_5,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1262P0002_116,TMS14F1262P0002,116,2,,1,2,3,5,,,,,,,,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1297P0019_117_plant_1,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1297P0019_117,TMS14F1297P0019,117,2,,1,2,2,1,,,,,,,,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1297P0019_117_plant_2,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1297P0019_117,TMS14F1297P0019,117,2,,1,2,2,2,,,,,,,,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1297P0019_117_plant_3,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1297P0019_117,TMS14F1297P0019,117,2,,1,2,2,3,,,,,,,,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1297P0019_117_plant_4,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1297P0019_117,TMS14F1297P0019,117,2,,1,2,2,4,,,,,,,,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1297P0019_117_plant_5,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1297P0019_117,TMS14F1297P0019,117,2,,1,2,2,5,,,,,,,,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1131P0001_118_plant_1,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1131P0001_118,TMS14F1131P0001,118,2,,1,2,1,1,,,,,,,,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1131P0001_118_plant_2,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1131P0001_118,TMS14F1131P0001,118,2,,1,2,1,2,,,,,,,,,,
