"accession_name","rep_number","plant_number","stem_nu","branching_point","branchpoint1_Fs","branchpoint2_Fs","branchpoint3_Fs","branchpoint4_Fs","branchpoint1_H","section1_H","section2_H","section3_H","plant_H","plant_H21","section1_Nod","section2_Nod","section3_Nod","section4_Nod","LlobesNo","Lob1L","Lob1W","Lob2L","Lob2W","Lob3L","Lob3W","stem_D","section1_D","section2_D","section3_D","New_nod"
"TMS14F1300P0008",1,5,2,2,2,3,NA,NA,60,125,NA,NA,160,NA,17,6,NA,NA,7,16.5,5.4,14.5,5.7,14,5,21.11,16.07,9.36,NA,NA
"TMS13F2061P0005",1,1,3,1,3,NA,NA,NA,110,NA,NA,NA,135,NA,6,NA,NA,NA,7,14,4.5,14,4,13.5,4,13.58,5.64,NA,NA,NA
"TMS13F2061P0005",1,2,3,1,2,NA,NA,NA,105,NA,NA,NA,140,NA,8,NA,NA,NA,7,11,3,12.5,3.8,12,4,14.12,7.83,NA,NA,NA
"TMS13F2061P0005",1,3,3,2,3,3,NA,NA,95,150,NA,NA,170,NA,20,3,NA,NA,7,13.5,4,14,4.3,15,4.5,19.93,12.31,9.11,NA,NA
"TMS13F2061P0005",1,4,1,2,3,3,NA,NA,100,165,NA,NA,170,NA,23,3,NA,NA,7,14.5,5,11.6,4.8,13,4.5,31.82,14,5.8,NA,NA
"TMS13F2061P0005",1,5,6,1,2,NA,NA,NA,130,NA,NA,NA,155,NA,5,NA,NA,NA,7,14,4,13.5,4,13,4,14.38,7.9,NA,NA,NA
"TMS13F1461P0002",1,1,3,1,2,NA,NA,NA,105,NA,NA,NA,135,NA,5,NA,NA,NA,7,16,4.3,16.3,3.8,14.6,3.7,14.67,8.61,NA,NA,NA
"TMS13F1461P0002",1,2,2,1,2,NA,NA,NA,70,140,NA,NA,140,NA,21,NA,NA,NA,7,14.5,3.2,16.3,4,16,3.5,20.97,12.35,6.8,NA,NA
"TMS13F1461P0002",1,3,2,1,3,NA,NA,NA,85,NA,NA,NA,130,NA,15,NA,NA,NA,7,15,3.5,15,3.6,15.5,3.6,20.21,10.08,NA,NA,NA
"TMS13F1461P0002",1,4,3,2,3,4,NA,NA,75,160,NA,NA,165,NA,23,4,NA,NA,4,15.5,3.5,16.5,4,14.5,3.9,23.71,16.17,6.61,NA,NA
"TMS13F1461P0002",1,5,4,2,3,2,NA,NA,80,155,NA,NA,165,NA,19,1,NA,NA,7,16.5,4.5,16,5,15.5,4,19.37,11.82,5.8,NA,NA
"TMS14F1001P0004",1,1,2,1,2,NA,NA,NA,115,NA,NA,NA,155,NA,8,NA,NA,NA,7,16,4.5,15,4.5,13,4,16.46,9.93,NA,NA,NA
"TMS14F1001P0004",1,2,1,2,3,3,NA,NA,90,150,NA,NA,165,NA,18,6,NA,NA,7,13,4,13,4,11.5,3.6,23.54,14.81,6.66,NA,NA
"TMS14F1001P0004",1,3,2,2,2,2,NA,NA,90,170,NA,NA,190,NA,18,5,NA,NA,7,14,4,14,4.1,13.5,3.9,19.36,12.9,8.37,NA,NA
"TMS14F1001P0004",1,4,1,2,3,3,NA,NA,80,170,NA,NA,180,NA,21,9,NA,NA,7,15.5,4.4,16,5,15,4,23.55,16.37,9.43,NA,NA
"TMS14F1001P0004",1,5,3,1,2,NA,NA,NA,120,NA,NA,NA,165,NA,10,NA,NA,NA,7,13.5,4,13.5,4.1,12,3.8,15.58,8.67,NA,NA,NA
"TMS14F1049P0001",1,1,5,1,3,NA,NA,NA,120,NA,NA,NA,190,NA,20,NA,NA,NA,7,14,4.5,14.5,4.6,13.5,4,20.81,12.3,NA,NA,NA
"TMS14F1049P0001",1,2,7,1,3,NA,NA,NA,120,NA,NA,NA,180,NA,8,NA,NA,NA,7,13,5,14.5,4,15.5,5,12.48,6.54,NA,NA,NA
"TMS14F1049P0001",1,3,3,2,3,3,NA,NA,90,190,NA,NA,215,NA,23,4,NA,NA,7,16.5,4.5,17,5.7,18,5.5,23.96,15.29,6.69,NA,NA
"TMS14F1049P0001",1,4,5,1,4,NA,NA,NA,105,NA,NA,NA,195,NA,19,NA,NA,NA,7,14.5,4.7,14.5,4.7,12,4.3,18.99,12.73,NA,NA,NA
"TMS14F1049P0001",1,5,2,2,3,3,NA,NA,100,185,NA,NA,205,NA,22,3,NA,NA,7,14.5,4.6,14.3,5,14.5,4.8,23.93,14.05,6.57,NA,NA
"TMS14F1022P0006",1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,170,NA,NA,NA,NA,NA,9,14,5.3,13.5,4.5,13,4.5,14.45,NA,NA,NA,NA
"TMS14F1022P0006",1,2,4,1,3,NA,NA,NA,120,NA,NA,NA,175,NA,13,NA,NA,NA,9,15,5,13,5,14,5.4,17.47,10.75,NA,NA,NA
"TMS14F1022P0006",1,3,3,2,3,4,NA,NA,95,200,NA,NA,220,NA,26,5,NA,NA,9,14.5,4.5,16,5.7,18,6,23.7,14.43,8.37,NA,NA
"TMS14F1022P0006",1,4,3,1,3,NA,NA,NA,155,NA,NA,NA,170,NA,3,NA,NA,NA,9,13,4,12.5,4.5,13,4.7,17.46,6.26,NA,NA,NA
"TMS14F1022P0006",1,5,1,2,3,3,NA,NA,90,180,NA,NA,195,NA,27,3,NA,NA,9,15,5,15,5.8,13,5.2,23.5,16.08,4.31,NA,NA
"TMS14F1262P0002",1,1,3,2,3,2,NA,NA,60,130,140,NA,140,NA,26,6,NA,NA,9,14,4,15,4,14.5,4,24.41,16.09,7.12,NA,NA
"TMS14F1262P0002",1,2,2,1,3,NA,NA,NA,90,135,NA,NA,150,NA,12,NA,NA,NA,7,14.5,4.3,13.7,4.4,15,4.6,18.24,1.58,NA,NA,NA
"TMS14F1262P0002",1,3,3,2,3,2,NA,NA,60,110,140,NA,135,NA,23,3,NA,NA,7,12.5,3.4,13,3.5,14.5,3,22.08,17.71,8.74,NA,NA
"TMS14F1262P0002",1,4,2,2,3,3,NA,NA,50,110,140,NA,145,NA,26,10,NA,NA,7,13,3,18.5,3.5,13.5,3.2,25.06,16.17,8.91,NA,NA
"TMS14F1262P0002",1,5,3,1,3,NA,NA,NA,105,130,NA,NA,155,NA,7,NA,NA,NA,9,13,3.1,12,3.4,15,4.3,18.86,10.37,NA,NA,NA
"TMS14F1297P0019",1,1,3,1,2,NA,NA,NA,98,105,NA,NA,110,NA,2,NA,NA,NA,7,11,2.9,11,3.5,12.5,3.3,13.48,5.08,NA,NA,NA
"TMS14F1297P0019",1,2,3,1,2,NA,NA,NA,80,130,NA,NA,140,NA,20,NA,NA,NA,9,14,4.5,13,3.6,13,4,13.41,10.58,NA,NA,NA
"TMS14F1297P0019",1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,NA,NA,NA,NA,NA,7,11.5,2.9,13,3.8,13,4,13.86,NA,NA,NA,NA
"TMS14F1297P0019",1,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,130,NA,NA,NA,NA,NA,7,12,3.8,12.5,4.6,13,4.1,16.61,NA,NA,NA,NA
"TMS14F1297P0019",1,5,2,1,2,NA,NA,NA,113,128,NA,NA,145,NA,6,NA,NA,NA,7,14,4.5,16,4.2,10.5,3,17.37,8.2,NA,NA,NA
"TMS14F1131P0001",1,1,2,2,3,2,NA,NA,65,137,145,NA,150,NA,19,2,NA,NA,7,12.5,4,11,4,13.5,4,19.01,12.55,4.43,NA,NA
"TMS14F1131P0001",1,2,1,2,3,2,NA,NA,60,128,140,NA,150,NA,19,1,NA,NA,7,13.7,4.2,12,4.1,11,3.5,22.56,11.11,4.2,NA,NA
