"accession_name","rep_number","plant_number","stem_nu","NODLT","Total_nod","LAIm","LAIX","BR#S","L#SX","L#IR"
"TMS14F1297P0019",1,5,2,2.5,114.4,171.147,1.95792168,2,57.2,NA
"TMS14F1131P0001",1,1,2,7.78947368421053,138.689189189189,158.68,2.20072005405405,2,69.3445945945946,NA
"TMS14F1131P0001",1,2,1,15.5789473684211,62.8513513513514,156.1684,0.981539497837838,1,62.8513513513514,NA
"TMS14F1131P0001",1,3,1,5.68421052631579,76.6759259259259,175.879,1.34856851759259,1,76.6759259259259,NA
"TMS14F1131P0001",1,4,1,19.047619047619,68.4125,162.957,1.11482957625,1,68.4125,NA
"TMS14F1131P0001",1,5,1,8.09090909090909,61.8988764044944,202.36,1.25258566292135,1,61.8988764044944,NA
"IITA-TMS-IBA000070",1,1,2,1.75,154.285714285714,136.294,2.10282171428571,2,77.1428571428571,NA
"IITA-TMS-IBA000070",1,2,2,1.92307692307692,234,111.815,2.616471,2,117,NA
"IITA-TMS-IBA000070",1,3,1,1.66666666666667,138,214.372,2.9583336,1,138,NA
"IITA-TMS-IBA000070",1,4,3,1.94444444444444,208.285714285714,122.189,2.54502231428571,3,69.4285714285714,NA
"IITA-TMS-IBA000070",1,5,1,1.60714285714286,108.888888888889,201.905,2.19852111111111,1,108.888888888889,NA
"IITA-TMS-IBA982101",1,1,2,2.30769230769231,169,211.434,3.5732346,2,84.5,NA
"IITA-TMS-IBA982101",1,2,2,2.5,152,293.919,4.4675688,2,76,NA
"IITA-TMS-IBA982101",1,3,1,NA,NA,228.633,NA,1,NA,NA
"IITA-TMS-IBA982101",1,4,2,3,146.666666666667,202.659,2.972332,2,73.3333333333333,NA
"IITA-TMS-IBA982101",1,5,3,18.1818181818182,217.2,267.243,5.80451796,3,72.4,NA
"IITA-TMS-IBA30572",1,1,2,1.6,243.75,156.86,3.8234625,2,121.875,NA
"IITA-TMS-IBA30572",1,2,3,3.88888888888889,162,125.647,2.0354814,3,54,NA
"IITA-TMS-IBA30572",1,3,2,3.94736842105263,159.6,146.486,2.33791656,2,79.8,NA
"IITA-TMS-IBA30572",1,4,1,9.62121212121212,62.8740157480315,220.105,1.38388852362205,1,62.8740157480315,NA
"IITA-TMS-IBA30572",1,5,1,3.07692307692308,84.5,161.7285,1.366605825,1,84.5,NA
"TMS13F1114P0001",1,1,6,8.69565217391304,588.3,167.234,9.83837622,6,98.05,NA
