,accession_name,leaf_no,Slice,Total.Area
555,TMS14F1303P0012,9,scan_9,243.111
556,TMS14F1303P0012,10,scan_10,216.481
557,TMS14F1306P0006,1,scan_1,184.387
558,TMS14F1306P0006,2,scan_2,222.257
559,TMS14F1306P0006,3,scan_3,174.404
560,TMS14F1306P0006,4,scan_4,190.029
561,TMS14F1306P0006,5,scan_5,189.607
562,TMS14F1306P0006,6,scan_6,218.501
563,TMS14F1306P0006,7,scan_7,217.913
564,TMS14F1306P0006,9,scan_9,232.845
565,TMS14F1306P0006,10,scan_10,174.2
566,TMS14F1306P0015,1,scan_1,196.164
567,TMS14F1306P0015,2,scan_2,203.368
568,TMS14F1306P0015,3,scan_3,213.595
569,TMS14F1306P0015,4,scan_4,202.159
570,TMS14F1306P0015,5,scan_5,247.329
571,TMS14F1306P0015,6,scan_6,282.424
572,TMS14F1306P0015,7,scan_7,271.834
573,TMS14F1306P0015,8,scan_8,211.386
574,TMS14F1306P0015,9,scan_9,253.39
575,TMS14F1306P0015,10,scan_10,268.032
576,TMS14F1306P0020,1,scan_1,231.456
577,TMS14F1306P0020,2,scan_2,258.029
578,TMS14F1306P0020,3,scan_3,311.455
