leaf_name,plot_name,accession_name,plot_number,leaf_no,pedigree,block_number,rep_number,petiole length,leaf lobe length,leaf lobe width,lobe number
2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1278P0003_103_12,2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1278P0003_103,TMS14F1278P0003,103,12,TMS13F1088P0008/TMS13F1106P0006,1,1,,,,
2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1278P0003_103_13,2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1278P0003_103,TMS14F1278P0003,103,13,TMS13F1088P0008/TMS13F1106P0006,1,1,,,,
2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1278P0003_103_14,2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1278P0003_103,TMS14F1278P0003,103,14,TMS13F1088P0008/TMS13F1106P0006,1,1,,,,
2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1278P0003_103_15,2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1278P0003_103,TMS14F1278P0003,103,15,TMS13F1088P0008/TMS13F1106P0006,1,1,,,,
2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1278P0003_103_16,2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1278P0003_103,TMS14F1278P0003,103,16,TMS13F1088P0008/TMS13F1106P0006,1,1,,,,
2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1278P0003_103_17,2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1278P0003_103,TMS14F1278P0003,103,17,TMS13F1088P0008/TMS13F1106P0006,1,1,,,,
2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1278P0003_103_18,2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1278P0003_103,TMS14F1278P0003,103,18,TMS13F1088P0008/TMS13F1106P0006,1,1,,,,
2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1278P0003_103_19,2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1278P0003_103,TMS14F1278P0003,103,19,TMS13F1088P0008/TMS13F1106P0006,1,1,,,,
2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1278P0003_103_20,2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1278P0003_103,TMS14F1278P0003,103,20,TMS13F1088P0008/TMS13F1106P0006,1,1,,,,
2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1278P0003_103_21,2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1278P0003_103,TMS14F1278P0003,103,21,TMS13F1088P0008/TMS13F1106P0006,1,1,,,,
2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1278P0003_103_22,2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1278P0003_103,TMS14F1278P0003,103,22,TMS13F1088P0008/TMS13F1106P0006,1,1,,,,
2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1278P0003_103_23,2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1278P0003_103,TMS14F1278P0003,103,23,TMS13F1088P0008/TMS13F1106P0006,1,1,,,,
2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1278P0003_103_24,2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1278P0003_103,TMS14F1278P0003,103,24,TMS13F1088P0008/TMS13F1106P0006,1,1,,,,
2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1278P0003_103_25,2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1278P0003_103,TMS14F1278P0003,103,25,TMS13F1088P0008/TMS13F1106P0006,1,1,,,,
2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1278P0003_103_26,2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1278P0003_103,TMS14F1278P0003,103,26,TMS13F1088P0008/TMS13F1106P0006,1,1,,,,
2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1278P0003_103_27,2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1278P0003_103,TMS14F1278P0003,103,27,TMS13F1088P0008/TMS13F1106P0006,1,1,,,,
2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1278P0003_103_28,2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1278P0003_103,TMS14F1278P0003,103,28,TMS13F1088P0008/TMS13F1106P0006,1,1,,,,
2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1278P0003_103_29,2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1278P0003_103,TMS14F1278P0003,103,29,TMS13F1088P0008/TMS13F1106P0006,1,1,,,,
2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1278P0003_103_30,2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1278P0003_103,TMS14F1278P0003,103,30,TMS13F1088P0008/TMS13F1106P0006,1,1,,,,
2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1195P0004_104_1,2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1195P0004_104,TMS14F1195P0004,104,1,TMS13F1106P0006/TMS13F1307P0020,1,1,16.3,13.2,3.5,7
