leaf_name,plot_name,accession_name,plot_number,leaf_no,pedigree,block_number,rep_number,petiole length,leaf lobe length,leaf lobe width,lobe number
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1195P0005_103_4,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1195P0005_103,TMS14F1195P0005,103,4,TMS13F1106P0006/TMS13F1307P0020,1,1,19,13.2,4.1,
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1195P0005_103_5,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1195P0005_103,TMS14F1195P0005,103,5,TMS13F1106P0006/TMS13F1307P0020,1,1,22.5,12,3.8,
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1195P0005_103_6,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1195P0005_103,TMS14F1195P0005,103,6,TMS13F1106P0006/TMS13F1307P0020,1,1,23.3,12.5,4,
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1195P0005_103_7,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1195P0005_103,TMS14F1195P0005,103,7,TMS13F1106P0006/TMS13F1307P0020,1,1,23.6,13,4.3,
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1195P0005_103_8,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1195P0005_103,TMS14F1195P0005,103,8,TMS13F1106P0006/TMS13F1307P0020,1,1,24.2,13,4.3,
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1195P0005_103_9,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1195P0005_103,TMS14F1195P0005,103,9,TMS13F1106P0006/TMS13F1307P0020,1,1,22.2,12,3.9,
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1195P0005_103_10,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1195P0005_103,TMS14F1195P0005,103,10,TMS13F1106P0006/TMS13F1307P0020,1,1,16.5,11,3.8,
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1195P0005_103_11,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1195P0005_103,TMS14F1195P0005,103,11,TMS13F1106P0006/TMS13F1307P0020,1,1,,,,
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1195P0005_103_12,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1195P0005_103,TMS14F1195P0005,103,12,TMS13F1106P0006/TMS13F1307P0020,1,1,,,,
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1195P0005_103_13,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1195P0005_103,TMS14F1195P0005,103,13,TMS13F1106P0006/TMS13F1307P0020,1,1,,,,
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1195P0005_103_14,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1195P0005_103,TMS14F1195P0005,103,14,TMS13F1106P0006/TMS13F1307P0020,1,1,,,,
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1195P0005_103_15,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1195P0005_103,TMS14F1195P0005,103,15,TMS13F1106P0006/TMS13F1307P0020,1,1,,,,
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1195P0005_103_16,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1195P0005_103,TMS14F1195P0005,103,16,TMS13F1106P0006/TMS13F1307P0020,1,1,,,,
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1195P0005_103_17,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1195P0005_103,TMS14F1195P0005,103,17,TMS13F1106P0006/TMS13F1307P0020,1,1,,,,
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1195P0005_103_18,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1195P0005_103,TMS14F1195P0005,103,18,TMS13F1106P0006/TMS13F1307P0020,1,1,,,,
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1195P0005_103_19,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1195P0005_103,TMS14F1195P0005,103,19,TMS13F1106P0006/TMS13F1307P0020,1,1,,,,
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1195P0005_103_20,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1195P0005_103,TMS14F1195P0005,103,20,TMS13F1106P0006/TMS13F1307P0020,1,1,,,,
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1195P0005_103_21,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1195P0005_103,TMS14F1195P0005,103,21,TMS13F1106P0006/TMS13F1307P0020,1,1,,,,
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1195P0005_103_22,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1195P0005_103,TMS14F1195P0005,103,22,TMS13F1106P0006/TMS13F1307P0020,1,1,,,,
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1195P0005_103_23,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1195P0005_103,TMS14F1195P0005,103,23,TMS13F1106P0006/TMS13F1307P0020,1,1,,,,
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1195P0005_103_24,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1195P0005_103,TMS14F1195P0005,103,24,TMS13F1106P0006/TMS13F1307P0020,1,1,,,,
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1195P0005_103_25,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1195P0005_103,TMS14F1195P0005,103,25,TMS13F1106P0006/TMS13F1307P0020,1,1,,,,
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1195P0005_103_26,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1195P0005_103,TMS14F1195P0005,103,26,TMS13F1106P0006/TMS13F1307P0020,1,1,,,,
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1195P0005_103_27,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1195P0005_103,TMS14F1195P0005,103,27,TMS13F1106P0006/TMS13F1307P0020,1,1,,,,
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1195P0005_103_28,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1195P0005_103,TMS14F1195P0005,103,28,TMS13F1106P0006/TMS13F1307P0020,1,1,,,,
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1195P0005_103_29,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1195P0005_103,TMS14F1195P0005,103,29,TMS13F1106P0006/TMS13F1307P0020,1,1,,,,
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1195P0005_103_30,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1195P0005_103,TMS14F1195P0005,103,30,TMS13F1106P0006/TMS13F1307P0020,1,1,,,,
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1303P0012_104_1,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1303P0012_104,TMS14F1303P0012,104,1,IITA-TMS-ZAR930151/IITA-TMS-IBA930134,1,1,24.5,14.5,4.4,
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1303P0012_104_2,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1303P0012_104,TMS14F1303P0012,104,2,IITA-TMS-ZAR930151/IITA-TMS-IBA930134,1,1,25,13.5,4.4,
